PAIS;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
AL;1700;1850;1940;2060;2180;2310;2460;2630;2850;2960;3090;3180;3230;3260;3330;3410;3530;3670;3570
AT;31710;31990;32360;32520;33200;33710;34700;35870;36280;34830;35390;36300;36390;36180;36130;36140;36430;37090;37810
BE;29890;30110;30490;30680;31640;32200;32800;33760;33640;32700;33330;33590;33610;33590;33960;34470;34810;35330;35670
BG;3010;3230;3440;3640;3890;4190;4500;4820;5140;4990;5050;5300;5350;5400;5530;5790;5530;6050;6310
CH;50770;51220;50930;50580;51630;52920;54720;56490;57030;55080;56150;56690;56660;57040;57730;57840;58200;58700;59870
CY;20130;20700;21230;21520;22300;23050;23740;24420;24680;23550;23400;22900;21780;20400;20240;21040;22360;23120;23770
CZ;11170;11540;11760;12180;12780;13570;14460;15190;15430;14610;14900;15200;15060;14980;15370;16160;16520;17200;17640
DE;28900;29370;29290;29090;29470;29730;30930;31920;32320;30580;31940;33200;33280;33330;33930;34220;34700;35420;35860
DK;42190;42390;42430;42490;43520;44400;45990;46210;45700;43220;43840;44240;44170;44410;44890;45630;46720;47360;48260
EE;7570;8070;8680;9390;10090;11110;12260;13270;12640;10830;11150;12010;12430;12640;13060;13330;13650;14440;15090
EL;17570;18210;18850;19890;20850;20910;22030;22690;22560;21530;20320;18500;17240;16800;17040;17080;17110;17410;17790
ES;21460;22190;22430;22680;23020;23420;24000;24380;24200;23100;23040;22770;22080;21840;22210;23080;23760;24410;24880
FI;30510;31230;31690;32250;33440;34250;35490;37210;37330;34150;35080;35810;35140;34660;34390;34470;35280;36270;36820
FR;28930;29290;29410;29440;30050;30320;30850;31400;31310;30250;30690;31210;31160;31170;31320;31540;31770;32370;32830
HR;7840;8480;8890;9400;9790;10200;10700;11260;11460;10630;10480;10480;10280;10260;10290;10590;11050;11500;11940
HU;7900;8240;8660;9040;9490;9910;10330;10370;10500;9810;9900;10110;10010;10230;10690;11130;11410;11930;12560
IE;33310;34520;35930;36420;38190;39470;40400;41300;38600;36300;36790;36760;36690;37010;39890;49470;50710;54240;57960
IS;28290;28990;28940;29420;31420;33040;33820;36140;35940;33520;32490;33000;33250;34290;34620;35890;37750;38490;39280
IT;27430;27950;27960;27850;28030;28090;28480;28730;28230;26590;26930;27020;26090;25480;25420;25640;26010;26500;26760
LT;5230;5620;6050;6740;7260;7950;8670;9750;10110;8710;9030;9790;10100;10102;9920;9800;9872;9790;9790